sunny,overcast,rain,Temperature,Humidity,Wind,Num_Players
1,0,0,85,85,0,52
1,0,0,80,90,1,39
0,1,0,83,78,0,43
0,0,1,70,96,0,37
0,0,1,68,80,0,28
0,0,1,65,70,1,19
0,1,0,64,65,1,43
1,0,0,72,95,0,47
1,0,0,69,70,0,56
0,0,1,75,80,0,33
1,0,0,75,70,1,49
0,1,0,72,90,1,23
0,1,0,81,75,0,42
0,0,1,71,80,1,13
1,0,0,81,88,1,33
0,1,0,74,92,0,29
0,0,1,76,85,0,25
1,0,0,78,75,1,51
1,0,0,82,92,0,41
0,0,1,67,90,1,14
0,1,0,85,85,1,34
0,0,1,73,88,0,29
1,0,0,88,65,1,49
0,1,0,77,70,0,36
1,0,0,79,60,0,57
0,1,0,80,95,1,21
0,0,1,66,70,0,23
0,1,0,84,78,0,41
