Date,Weekday,Month,Season,Holiday,Temperature,Humidity,Windy,Outlook,Crowdedness,Play_A,PlayTimeHour_A,Play_B,PlayTimeHour_B,Play_C,PlayTimeHour_C,Play_D,PlayTimeHour_D,Play_E,PlayTimeHour_E,Play_F,PlayTimeHour_F,Play_G,PlayTimeHour_G
2021-01-01,4,Jan,Winter,1,3.3,49.0,1,sunny,0.73,1,3.1,0,0.0,0,0.0,1,3.6,1,3.4,0,0.0,0,0.0
2021-01-02,5,Jan,Winter,0,2.9,53.0,0,sunny,0.74,1,3.3,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-03,6,Jan,Winter,0,2.3,58.0,0,overcast,0.7,0,0.0,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-04,0,Jan,Winter,0,3.0,45.0,0,overcast,0.61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-05,1,Jan,Winter,0,3.1,31.0,1,sunny,0.52,0,0.0,0,0.0,0,0.0,0,0.0,1,2.8,0,0.0,0,0.0
2021-01-06,2,Jan,Winter,0,2.1,35.0,0,sunny,0.55,1,3.2,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0,0,0.0
2021-01-07,3,Jan,Winter,0,1.2,36.0,1,snow,0.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-08,4,Jan,Winter,0,-0.2,56.0,1,snow,0.44,0,0.0,0,0.0,0,0.0,1,3.5,0,0.0,1,3.7,0,0.0
2021-01-09,5,Jan,Winter,0,-0.6,51.0,1,sunny,0.62,0,0.0,0,0.0,0,0.0,1,3.6,0,0.0,1,3.3,0,0.0
2021-01-10,6,Jan,Winter,0,-0.4,59.0,0,snow,0.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0
2021-01-11,0,Jan,Winter,1,0.3,69.0,0,snow,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-12,1,Jan,Winter,0,2.6,50.0,1,overcast,0.45,0,0.0,0,0.0,0,0.0,1,3.3,0,0.0,0,0.0,0,0.0
2021-01-13,2,Jan,Winter,0,5.1,38.0,0,overcast,0.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-14,3,Jan,Winter,0,5.5,62.0,0,rainy,0.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-15,4,Jan,Winter,0,4.5,52.0,0,overcast,0.57,1,3.1,1,3.1,1,4.7,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-16,5,Jan,Winter,0,1.8,34.0,0,overcast,0.65,1,3.2,0,0.0,1,4.7,0,0.0,0,0.0,1,3.1,0,0.0
2021-01-17,6,Jan,Winter,0,-0.7,61.0,0,snow,0.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.5,0,0.0
2021-01-18,0,Jan,Winter,0,-0.9,51.0,1,overcast,0.43,0,0.0,0,0.0,0,0.0,1,3.3,0,0.0,0,0.0,0,0.0
2021-01-19,1,Jan,Winter,0,-0.1,56.0,0,overcast,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-20,2,Jan,Winter,0,-0.3,59.0,1,snow,0.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0
2021-01-21,3,Jan,Winter,0,-1.1,47.0,1,snow,0.37,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0,1,3.6,0,0.0
2021-01-22,4,Jan,Winter,0,-1.6,61.0,0,overcast,0.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0
2021-01-23,5,Jan,Winter,0,-0.2,38.0,1,snow,0.48,0,0.0,0,0.0,0,0.0,1,3.6,0,0.0,1,3.8,0,0.0
2021-01-24,6,Jan,Winter,0,2.6,53.0,1,sunny,0.6,0,0.0,0,0.0,0,0.0,1,3.6,1,3.2,1,3.3,0,0.0
2021-01-25,0,Jan,Winter,0,5.0,44.0,1,overcast,0.49,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-26,1,Jan,Winter,0,2.2,53.0,1,overcast,0.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-27,2,Jan,Winter,0,0.4,58.0,0,snow,0.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0
2021-01-28,3,Jan,Winter,0,-1.8,60.0,1,overcast,0.43,0,0.0,0,0.0,0,0.0,1,4.1,1,2.8,1,3.3,0,0.0
2021-01-29,4,Jan,Winter,0,-2.0,54.0,1,snow,0.34,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,1,3.3,0,0.0
2021-01-30,5,Jan,Winter,0,-0.4,57.0,0,snow,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0
2021-01-31,6,Jan,Winter,0,0.9,45.0,1,sunny,0.61,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0,1,3.1,0,0.0
2021-02-01,0,Feb,Winter,0,2.3,59.0,1,overcast,0.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-02,1,Feb,Winter,0,4.1,53.0,1,sunny,0.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-03,2,Feb,Winter,0,4.6,49.0,1,overcast,0.46,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0,0,0.0
2021-02-04,3,Feb,Winter,0,5.5,44.0,0,sunny,0.68,1,3.6,0,0.0,1,4.7,0,0.0,1,3.7,0,0.0,0,0.0
2021-02-05,4,Feb,Winter,0,4.9,45.0,1,overcast,0.55,0,0.0,0,0.0,0,0.0,1,3.3,0,0.0,0,0.0,0,0.0
2021-02-06,5,Feb,Winter,0,4.1,45.0,1,sunny,0.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-07,6,Feb,Winter,0,2.8,45.0,0,sunny,0.63,1,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-08,0,Feb,Winter,0,0.7,52.0,1,snow,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-09,1,Feb,Winter,0,-0.4,62.0,1,snow,0.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.3,0,0.0
2021-02-10,2,Feb,Winter,0,-0.1,47.0,0,overcast,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-11,3,Feb,Winter,1,0.9,43.0,1,snow,0.5,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0,1,3.2,0,0.0
2021-02-12,4,Feb,Winter,0,3.5,51.0,0,overcast,0.63,0,0.0,0,0.0,1,4.4,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-13,5,Feb,Winter,0,4.8,47.0,0,sunny,0.77,1,3.4,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-14,6,Feb,Winter,0,4.8,55.0,0,overcast,0.64,1,3.1,1,3.2,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-15,0,Feb,Winter,0,4.6,61.0,1,sunny,0.52,0,0.0,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0,0,0.0
2021-02-16,1,Feb,Winter,0,3.4,69.0,0,sunny,0.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-17,2,Feb,Winter,0,3.3,57.0,0,overcast,0.59,0,0.0,0,0.0,1,4.5,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-18,3,Feb,Winter,0,2.8,42.0,1,sunny,0.56,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0
2021-02-19,4,Feb,Winter,0,2.4,44.0,0,overcast,0.53,1,3.1,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-20,5,Feb,Winter,0,2.4,52.0,1,overcast,0.66,0,0.0,0,0.0,0,0.0,1,3.5,0,0.0,0,0.0,0,0.0
2021-02-21,6,Feb,Winter,0,1.7,46.0,0,snow,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0
2021-02-22,0,Feb,Winter,0,2.2,44.0,1,sunny,0.48,0,0.0,0,0.0,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0
2021-02-23,1,Feb,Winter,1,2.3,53.0,1,overcast,0.67,0,0.0,1,3.1,0,0.0,1,3.8,0,0.0,0,0.0,0,0.0
2021-02-24,2,Feb,Winter,0,2.7,61.0,1,overcast,0.53,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0,0,0.0,0,0.0
2021-02-25,3,Feb,Winter,0,4.1,45.0,1,overcast,0.56,0,0.0,0,0.0,0,0.0,1,3.3,0,0.0,0,0.0,0,0.0
2021-02-26,4,Feb,Winter,0,5.3,55.0,0,sunny,0.68,1,3.2,0,0.0,1,4.5,0,0.0,1,2.9,0,0.0,0,0.0
2021-02-27,5,Feb,Winter,0,6.2,39.0,1,sunny,0.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-02-28,6,Feb,Winter,0,7.1,51.0,1,overcast,0.72,0,0.0,1,3.5,1,4.5,1,3.7,0,0.0,0,0.0,0,0.0
2021-03-01,0,Mar,Winter,0,7.2,61.0,0,sunny,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-02,1,Mar,Winter,0,6.7,45.0,0,sunny,0.62,1,3.4,0,0.0,1,4.5,0,0.0,1,3.5,0,0.0,0,0.0
2021-03-03,2,Mar,Winter,0,5.4,40.0,1,sunny,0.56,0,0.0,0,0.0,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0
2021-03-04,3,Mar,Winter,0,4.4,59.0,1,overcast,0.46,0,0.0,1,3.1,0,0.0,1,3.5,0,0.0,0,0.0,0,0.0
2021-03-05,4,Mar,Winter,0,4.2,41.0,1,overcast,0.54,0,0.0,0,0.0,0,0.0,1,3.4,0,0.0,0,0.0,0,0.0
2021-03-06,5,Mar,Winter,0,4.0,57.0,1,sunny,0.76,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0,0,0.0,0,0.0
2021-03-07,6,Mar,Winter,0,4.6,54.0,0,sunny,0.82,1,3.2,0,0.0,1,4.6,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-08,0,Mar,Winter,0,5.2,44.0,1,sunny,0.57,0,0.0,0,0.0,0,0.0,0,0.0,1,2.8,0,0.0,0,0.0
2021-03-09,1,Mar,Winter,0,5.2,50.0,1,sunny,0.62,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0
2021-03-10,2,Mar,Winter,0,4.7,67.0,1,sunny,0.58,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0
2021-03-11,3,Mar,Winter,0,3.5,52.0,1,sunny,0.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-12,4,Mar,Winter,0,2.6,57.0,1,sunny,0.64,0,0.0,0,0.0,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0
2021-03-13,5,Mar,Winter,0,2.7,60.0,1,overcast,0.72,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0
2021-03-14,6,Mar,Winter,0,3.4,37.0,1,sunny,0.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-15,0,Mar,Winter,0,4.3,47.0,1,sunny,0.63,0,0.0,0,0.0,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0
2021-03-16,1,Mar,Winter,0,5.5,56.0,1,overcast,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-17,2,Mar,Winter,0,7.1,44.0,1,overcast,0.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-18,3,Mar,Winter,0,7.6,41.0,1,sunny,0.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-19,4,Mar,Winter,0,6.9,63.0,1,rainy,0.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-20,5,Mar,Spring,1,7.1,43.0,1,sunny,0.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-21,6,Mar,Spring,0,7.5,55.0,1,overcast,0.61,0,0.0,1,3.1,0,0.0,1,3.3,0,0.0,0,0.0,0,0.0
2021-03-22,0,Mar,Spring,0,8.7,91.0,1,rainy,0.16,0,0.0,0,0.0,0,0.0,0,0.0,1,2.8,0,0.0,1,3.7
2021-03-23,1,Mar,Spring,0,8.8,62.0,1,rainy,0.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-24,2,Mar,Spring,0,8.4,60.0,0,sunny,0.75,0,0.0,0,0.0,1,4.4,0,0.0,1,3.0,0,0.0,0,0.0
2021-03-25,3,Mar,Spring,0,7.5,44.0,0,overcast,0.6,1,3.2,0,0.0,1,4.7,0,0.0,0,0.0,0,0.0,0,0.0
2021-03-26,4,Mar,Spring,0,6.5,34.0,0,sunny,0.7,1,3.4,0,0.0,1,4.6,0,0.0,1,3.0,0,0.0,0,0.0
